GCF_000005825.2	Bacillus pseudofirmus OF4 (firmicutes)
GCF_000496595.1	Candidatus Liberibacter americanus str. Sao Paulo (a-proteobacteria)
GCF_000499765.1	Methanobacterium sp. MB1 (euryarchaeotes)
GCF_000500935.1	Spiroplasma apis B31 (mycoplasmas)
GCF_000503895.1	Hyphomicrobium nitrativorans NL23 (a-proteobacteria)
GCF_000504125.1	Enterococcus mundtii QU 25 (firmicutes)
GCF_000507245.1	Salinispira pacifica (spirochetes)
GCF_000508225.1	Ehrlichia muris AS145 (a-proteobacteria)
GCF_000508245.1	Mycoplasma ovis str. Michigan (mycoplasmas)
GCF_000510265.1	Candidatus Endolissoclinum faulkneri L5 (a-proteobacteria)
GCF_000511305.1	Rhodococcus pyridinivorans SB3094 (high GC Gram+)
GCF_000511355.1	Leisingera methylohalidivorans DSM 14336 (a-proteobacteria)
GCF_000511385.1	Phaeobacter gallaeciensis DSM 26640 (a-proteobacteria)
GCF_000511405.1	Paenibacillus larvae subsp. larvae DSM 25430 (firmicutes)
GCF_000512205.2	Sphingomonas sanxanigenens DSM 19645 = NX02 (a-proteobacteria)
GCF_000512355.1	Legionella oakridgensis ATCC 33761 = DSM 21215 (g-proteobacteria)
GCF_000512735.1	Thermocrinis ruber (aquificales)
GCF_000512895.1	Dehalobacter restrictus DSM 9455 (firmicutes)
GCF_000512915.1	Barnesiella viscericola DSM 18177 (CFB group bacteria)
GCF_000513295.1	Magnetospirillum gryphiswaldense MSR-1 v2 (a-proteobacteria)
GCF_000513475.1	Candidatus Babela massiliensis (bacteria)
GCF_000517425.1	Sodalis praecaptivus (enterobacteria)
GCF_000517445.1	Thermococcus paralvinellae (euryarchaeotes)
GCF_000517565.1	Desulfurella acetivorans A63 (d-proteobacteria)
GCF_000517605.1	Rhizobium leguminosarum bv. trifolii WSM1689 (a-proteobacteria)
GCF_000517625.1	Halostagnicola larsenii XH-48 (euryarchaeotes)
GCF_000520015.2	Chania multitudinisentens RB-25 (enterobacteria)
GCF_000521505.1	Advenella mimigardefordensis DPN7 (b-proteobacteria)
GCF_000521565.1	Buchnera aphidicola str. G002 (Myzus persicae) (enterobacteria)
GCF_000523235.1	Nocardia nova SH22a (high GC Gram+)
GCF_000524555.1	Mycoplasma bovoculi M165/69 (mycoplasmas)
GCF_000525635.1	Kutzneria albida DSM 43870 (high GC Gram+)
GCF_000525655.1	Corynebacterium falsenii DSM 44353 (high GC Gram+)
GCF_000525675.1	Bdellovibrio bacteriovorus W (proteobacteria)
GCF_000550765.1	Komagataeibacter xylinus E25 (a-proteobacteria)
GCF_000550785.1	Corynebacterium casei LMG S-19264 (high GC Gram+)
GCF_000550805.1	Corynebacterium vitaeruminis DSM 20294 (high GC Gram+)
GCF_000565175.1	Spiroplasma culicicola AES-1 (mycoplasmas)
GCF_000565195.1	Spiroplasma mirum ATCC 29335 (mycoplasmas)
GCF_000565215.1	Spiroplasma sabaudiense Ar-1343 (mycoplasmas)
GCF_000568815.1	Sulfurospirillum multivorans DSM 12446 (e-proteobacteria)
GCF_000576555.1	Hymenobacter swuensis DY53 (CFB group bacteria)
GCF_000577895.1	Clostridium bornimense (firmicutes)
GCF_000583875.1	Chlamydia avium 10DC88 (chlamydias)
GCF_000585495.1	Thermococcus nautili (euryarchaeotes)
GCF_000590475.1	Pseudomonas stutzeri (g-proteobacteria)
GCF_000590555.1	Corynebacterium argentoratense DSM 44202 (high GC Gram+)
GCF_000590925.1	Roseibacterium elongatum DSM 19469 (a-proteobacteria)
GCF_000591055.1	Natronomonas moolapensis 8.8.11 (euryarchaeotes)
GCF_000599985.1	Gilliamella apicola (g-proteobacteria)
GCF_000600005.1	Snodgrassella alvi wkB2 (b-proteobacteria)
GCF_000612055.1	Trueperella pyogenes (high GC Gram+)
GCF_000612485.1	Bordetella holmesii ATCC 51541 (b-proteobacteria)
GCF_000612685.1	Castellaniella defragrans 65Phen (b-proteobacteria)
GCF_000619905.2	Nitrosospira briensis C-128 (b-proteobacteria)
GCF_000626635.1	Draconibacterium orientale (CFB group bacteria)
GCF_000626675.1	Corynebacterium glyciniphilum AJ 3170 (high GC Gram+)
GCF_000632805.1	Dyella jiangningensis (g-proteobacteria)
GCF_000632845.1	Ehrlichia sp. HF (a-proteobacteria)
GCF_000632985.1	Neorickettsia helminthoeca str. Oregon (a-proteobacteria)
GCF_000648515.1	Citrobacter freundii CFNIH1 (enterobacteria)
GCF_000661895.1	Rubrobacter radiotolerans (actinobacteria)
GCF_000689415.1	Pseudomonas knackmussii B13 (g-proteobacteria)
GCF_000695095.2	Gemmatimonas phototrophica (bacteria)
GCF_000695235.1	Streptomyces albulus (high GC Gram+)
GCF_000695835.1	Mycoplasma californicum (mycoplasmas)
GCF_000696485.1	Halomonas campaniensis (g-proteobacteria)
GCF_000697965.2	Ensifer adhaerens (a-proteobacteria)
GCF_000698785.1	Nitrososphaera viennensis EN76 (archaea)
GCF_000699505.1	Rhodoluna lacicola (high GC Gram+)
GCF_000706685.1	Staphylococcus xylosus (firmicutes)
GCF_000723165.1	Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628 (b-proteobacteria)
GCF_000723425.2	Mycobacterium marinum E11 (high GC Gram+)
GCF_000723465.1	Ruminococcus bicirculans (firmicutes)
GCF_000724485.1	Bacillus methanolicus MGA3 (firmicutes)
GCF_000724605.1	Actinotignum schaalii (high GC Gram+)
GCF_000724625.1	Fimbriimonas ginsengisoli Gsoil 348 (bacteria)
GCF_000724775.3	Lysinibacillus fusiformis (firmicutes)
GCF_000725365.1	Terribacillus goriensis (firmicutes)
GCF_000725405.1	Dermacoccus nishinomiyaensis (high GC Gram+)
GCF_000725425.1	Palaeococcus pacificus DY20341 (euryarchaeotes)
GCF_000730245.1	endosymbiont of Acanthamoeba sp. UWC8 (a-proteobacteria)
GCF_000730385.1	Alteromonas australica (g-proteobacteria)
GCF_000731315.1	Neorhizobium galegae bv. orientalis str. HAMBI 540 (a-proteobacteria)
GCF_000732925.1	Amycolatopsis japonica (high GC Gram+)
GCF_000732945.1	Corynebacterium atypicum (high GC Gram+)
GCF_000734015.1	Thermodesulfobacterium commune DSM 2178 (bacteria)
GCF_000734895.2	Calothrix sp. 336/3 (cyanobacteria)
GCF_000736415.1	Campylobacter iguaniorum (e-proteobacteria)
GCF_000737325.1	Sandaracinus amylolyticus (d-proteobacteria)
GCF_000737515.1	Hymenobacter sp. APR13 (CFB group bacteria)
GCF_000737535.1	Synechococcus sp. KORDI-100 (cyanobacteria)
GCF_000737575.1	Synechococcus sp. KORDI-49 (cyanobacteria)
GCF_000737595.1	Synechococcus sp. KORDI-52 (cyanobacteria)
GCF_000737865.1	Bifidobacterium coryneforme (high GC Gram+)
GCF_000738435.1	Planktomarina temperata RCA23 (a-proteobacteria)
GCF_000739065.1	Methanocaldococcus bathoardescens (euryarchaeotes)
GCF_000739085.1	Amycolatopsis methanolica 239 (high GC Gram+)
GCF_000739455.1	Corynebacterium imitans (high GC Gram+)
GCF_000739475.1	Borreliella valaisiana Tom4006 (spirochetes)
GCF_000742835.1	Candidatus Paracaedibacter acanthamoebae (a-proteobacteria)
GCF_000743945.1	Basilea psittacipulmonis DSM 24701 (b-proteobacteria)
GCF_000746585.1	Rickettsiales bacterium Ac37b (a-proteobacteria)
GCF_000746645.1	Acinetobacter baumannii (g-proteobacteria)
GCF_000747315.1	Corynebacterium ureicelerivorans (high GC Gram+)
GCF_000747345.1	Bacillus sp. X1(2014) (firmicutes)
GCF_000747525.1	Sphingobacterium sp. ML3W (CFB group bacteria)
GCF_000750535.1	Weissella ceti (firmicutes)
GCF_000754265.1	Candidatus Baumannia cicadellinicola (g-proteobacteria)
GCF_000754275.1	Pasteurella multocida (g-proteobacteria)
GCF_000755145.1	Treponema putidum (spirochetes)
GCF_000756615.1	Paenibacillus durus (firmicutes)
GCF_000757785.1	Pluralibacter gergoviae (enterobacteria)
GCF_000757825.1	Cedecea neteri (enterobacteria)
GCF_000758685.1	Paenibacillus stellifer (firmicutes)
GCF_000758725.1	Paenibacillus odorifer (firmicutes)
GCF_000759475.1	Pantoea rwandensis (enterobacteria)
GCF_000759535.1	Pseudomonas cremoricolorata (g-proteobacteria)
GCF_000761155.1	Pseudomonas rhizosphaerae (g-proteobacteria)
GCF_000762265.1	Methanobacterium formicicum (euryarchaeotes)
GCF_000763535.1	Vibrio coralliilyticus (g-proteobacteria)
GCF_000763575.1	Thermoanaerobacter kivui (firmicutes)
GCF_000764535.1	Sphingomonas taxi (a-proteobacteria)
GCF_000764555.1	Francisella sp. FSC1006 (g-proteobacteria)
GCF_000767055.1	Corynebacterium doosanense CAU 212 = DSM 45436 (high GC Gram+)
GCF_000767275.2	Fervidobacterium islandicum (thermotogales)
GCF_000767465.1	Novosphingobium pentaromativorans US6-1 (a-proteobacteria)
GCF_000767615.3	Pandoraea pnomenusa (b-proteobacteria)
GCF_000769655.1	Thermococcus eurythermalis (euryarchaeotes)
GCF_000772105.1	Vibrio tubiashii ATCC 19109 (g-proteobacteria)
GCF_000784965.1	Pantoea sp. PSNIH2 (enterobacteria)
GCF_000785105.2	Lentilactobacillus curieae (firmicutes)
GCF_000785495.1	Pimelobacter simplex (high GC Gram+)
GCF_000785705.2	Methylomonas denitrificans (g-proteobacteria)
GCF_000789255.1	Geoglobus acetivorans (euryarchaeotes)
GCF_000789395.1	Clostridium baratii str. Sullivan (firmicutes)
GCF_000800295.1	Parvimonas micra (firmicutes)
GCF_000800395.1	Deinococcus swuensis (bacteria)
GCF_000800475.2	Bifidobacterium pseudolongum PV8-2 (high GC Gram+)
GCF_000800805.1	Candidatus Methanoplasma termitum (archaea)
GCF_000801275.2	Vibrio nigripulchritudo (g-proteobacteria)
GCF_000801295.1	endosymbiont of unidentified scaly snail isolate Monju (g-proteobacteria)
GCF_000801315.1	Hymenobacter sp. DG25B (CFB group bacteria)
GCF_000802245.2	Streptomyces pluripotens (high GC Gram+)
GCF_000803645.1	Sphingopyxis fribergensis (a-proteobacteria)
GCF_000807255.1	Clostridium pasteurianum DSM 525 = ATCC 6013 (firmicutes)
GCF_000807275.1	Frischella perrara (g-proteobacteria)
GCF_000812185.1	Candidatus Nitrosopelagicus brevis (archaea)
GCF_000812665.2	Halocynthiibacter arcticus (a-proteobacteria)
GCF_000813245.1	Thermofilum adornatus 1505 (crenarchaeotes)
GCF_000814825.1	Berryella intestinalis (actinobacteria)
GCF_000815025.1	Coxiella endosymbiont of Amblyomma americanum (g-proteobacteria)
GCF_000815065.1	Mycoplasma flocculare ATCC 27399 (mycoplasmas)
GCF_000815185.1	Xanthomonas sacchari (g-proteobacteria)
GCF_000816085.1	Staphylococcus hyicus (firmicutes)
GCF_000816145.1	Pseudothermotoga hypogea DSM 11164 = NBRC 106472 (thermotogales)
GCF_000816185.1	Campylobacter insulaenigrae NCTC 12927 (e-proteobacteria)
GCF_000816345.1	Campylobacter volucris LMG 24379 (e-proteobacteria)
GCF_000816845.1	Rhizobium gallicum bv. gallicum R602 (a-proteobacteria)
GCF_000817955.1	Geobacter pickeringii (d-proteobacteria)
GCF_000818035.1	Neisseria elongata subsp. glycolytica ATCC 29315 (b-proteobacteria)
GCF_000819445.1	Corynebacterium humireducens NBRC 106098 = DSM 45392 (high GC Gram+)
GCF_000819565.1	Celeribacter indicus (a-proteobacteria)
GCF_000827005.1	Streptomyces albus (high GC Gram+)
GCF_000827125.1	Geoalkalibacter subterraneus (d-proteobacteria)
GCF_000828475.1	Methyloceanibacter caenitepidi (a-proteobacteria)
GCF_000828515.1	Candidatus Ishikawaella capsulata Mpkobe (enterobacteria)
GCF_000828615.1	Thiolapillus brandeum (g-proteobacteria)
GCF_000828635.1	Sulfuritalea hydrogenivorans sk43H (b-proteobacteria)
GCF_000828655.1	Thermotoga caldifontis AZM44c09 (thermotogales)
GCF_000828675.1	Thermotoga profunda AZM34c06 (thermotogales)
GCF_000828715.1	Winogradskyella sp. PG-2 (CFB group bacteria)
GCF_000828815.1	Candidatus Tachikawaea gelatinosa (enterobacteria)
GCF_000828835.1	Thioploca ingrica (g-proteobacteria)
GCF_000828855.1	Mycoplasma canadense (mycoplasmas)
GCF_000828895.1	Serpentinomonas raichei (b-proteobacteria)
GCF_000828915.1	Serpentinomonas mccroryi (b-proteobacteria)
GCF_000828975.1	Burkholderiales bacterium GJ-E10 (b-proteobacteria)
GCF_000829035.1	Lacticaseibacillus paracasei subsp. paracasei JCM 8130 (firmicutes)
GCF_000829195.1	Bacillus sp. OxB-1 (firmicutes)
GCF_000829315.1	Wolbachia endosymbiont of Cimex lectularius (a-proteobacteria)
GCF_000829395.1	Lactobacillus hokkaidonensis JCM 18461 (firmicutes)
GCF_000829415.1	Pseudomonas sp. StFLB209 (g-proteobacteria)
GCF_000830005.1	Streptomyces vietnamensis (high GC Gram+)
GCF_000830885.1	Dehalococcoides mccartyi CG5 (GNS bacteria)
GCF_000830985.1	Marinobacter similis (g-proteobacteria)
GCF_000831005.1	Marinobacter salarius (g-proteobacteria)
GCF_000831485.1	Streptococcus iniae (firmicutes)
GCF_000831645.3	Companilactobacillus heilongjiangensis (firmicutes)
GCF_000832305.1	Cupriavidus basilensis (b-proteobacteria)
GCF_000832605.1	Bacillus mycoides (firmicutes)
GCF_000832905.1	Bacillus coagulans DSM 1 = ATCC 7050 (firmicutes)
GCF_000832985.1	Bacillus megaterium NBRC 15308 = ATCC 14581 (firmicutes)
GCF_000833025.1	Myroides profundi (CFB group bacteria)
GCF_000833105.2	Clostridium beijerinckii (firmicutes)
GCF_000833575.1	Corynebacterium singulare (high GC Gram+)
GCF_000835165.1	Corynebacterium marinum DSM 44953 (high GC Gram+)
GCF_000875755.1	Mycoplasma yeatsii GM274B (mycoplasmas)
GCF_000935025.1	Sphingomonas hengshuiensis (a-proteobacteria)
GCF_000940805.1	Gynuella sunshinyii YC6258 (g-proteobacteria)
GCF_000940845.1	Propionibacterium freudenreichii subsp. freudenreichii (high GC Gram+)
GCF_000940995.1	Photobacterium gaetbulicola Gung47 (g-proteobacteria)
GCF_000941055.1	Siansivirga zeaxanthinifaciens CC-SAMT-1 (CFB group bacteria)
GCF_000941075.1	Mycoplasma dispar (mycoplasmas)
GCF_000949425.1	Paenibacillus sp. IHBB 10380 (firmicutes)
GCF_000950575.1	Psychromicrobium lacuslunae (high GC Gram+)
GCF_000953015.1	Candidatus Methylopumilus turicensis (b-proteobacteria)
GCF_000953135.1	Legionella fallonii LLAP-10 (g-proteobacteria)
GCF_000953195.1	Acholeplasma oculi (mycoplasmas)
GCF_000953215.1	[Clostridium] cellulosi (firmicutes)
GCF_000953435.1	Candidatus Evansia muelleri (g-proteobacteria)
GCF_000953475.1	Methylacidiphilum fumariolicum SolV (verrucomicrobia)
GCF_000953535.1	Fermentimonas caenicola (CFB group bacteria)
GCF_000953635.1	Tatlockia micdadei (g-proteobacteria)
GCF_000953655.1	Legionella hackeliae (g-proteobacteria)
GCF_000953695.1	Aliivibrio wodanis (g-proteobacteria)
GCF_000953735.1	Moritella viscosa (g-proteobacteria)
GCF_000954135.1	Ralstonia mannitolilytica (b-proteobacteria)
GCF_000959245.1	Burkholderia ubonensis MSMB22 (b-proteobacteria)
GCF_000959725.1	Burkholderia gladioli (b-proteobacteria)
GCF_000960975.1	Martelella endophytica (a-proteobacteria)
GCF_000961095.1	Paenibacillus beijingensis (firmicutes)
GCF_000963865.1	Muricauda lutaonensis (CFB group bacteria)
GCF_000964565.1	Yersinia ruckeri (enterobacteria)
GCF_000967305.2	Alcaligenes faecalis (b-proteobacteria)
GCF_000967425.1	Pseudorhizobium banfieldiae (a-proteobacteria)
GCF_000967895.1	Oleispira antarctica RB-8 (g-proteobacteria)
GCF_000967915.1	Acholeplasma brassicae (mycoplasmas)
GCF_000968055.1	Acholeplasma palmae J233 (mycoplasmas)
GCF_000968135.1	Magnetospira sp. QH-2 (marine magnetic spirillum QH-2)
GCF_000968175.1	Xenorhabdus poinarii G6 (enterobacteria)
GCF_000968195.1	Xenorhabdus doucetiae (enterobacteria)
GCF_000968535.2	Methylomicrobium alcaliphilum 20Z (g-proteobacteria)
GCF_000969645.2	Janthinobacterium sp. B9-8 (b-proteobacteria)
GCF_000969765.1	Mycoplasma synoviae ATCC 25204 (mycoplasmas)
GCF_000969885.1	Methanosarcina thermophila TM-1 (euryarchaeotes)
GCF_000969905.1	Methanosarcina vacuolata Z-761 (euryarchaeotes)
GCF_000969965.1	Methanosarcina sp. WWM596 (euryarchaeotes)
GCF_000970025.1	Methanosarcina barkeri MS (euryarchaeotes)
GCF_000970045.1	Methanosarcina sp. MTP4 (euryarchaeotes)
GCF_000970085.1	Methanosarcina siciliae T4/M (euryarchaeotes)
GCF_000970205.1	Methanosarcina mazei S-6 (euryarchaeotes)
GCF_000970265.1	Methanosarcina lacustris Z-7289 (euryarchaeotes)
GCF_000970285.1	Methanosarcina horonobensis HB-1 = JCM 15518 (euryarchaeotes)
GCF_000970305.1	Methanosarcina barkeri 3 (euryarchaeotes)
GCF_000970325.1	Methanococcoides methylutens MM1 (euryarchaeotes)
GCF_000972245.3	Priestia filamentosa (firmicutes)
GCF_000972765.1	Verrucomicrobia bacterium IMCC26134 (verrucomicrobia)
GCF_000972865.1	Pseudoxanthomonas suwonensis (g-proteobacteria)
GCF_000973085.1	Sneathia vaginalis (fusobacteria)
GCF_000973105.1	Zobellia galactanivorans (CFB group bacteria)
GCF_000973505.1	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri (enterobacteria)
GCF_000973545.1	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus (enterobacteria)
GCF_000973725.1	Pontibacter korlensis (CFB group bacteria)
GCF_000974425.1	Spirosoma radiotolerans (CFB group bacteria)
GCF_000980835.1	Corynebacterium kutscheri (high GC Gram+)
GCF_000981505.1	Candidatus Methylopumilus planktonicus (b-proteobacteria)
GCF_000981525.1	Lactococcus piscium MKFS47 (firmicutes)
GCF_000981545.1	Candidatus Filomicrobium marinum (a-proteobacteria)
GCF_000981765.1	Kangiella geojedonensis (g-proteobacteria)
GCF_000982715.1	Rhodococcus aetherivorans (high GC Gram+)
GCF_000982825.1	Cronobacter sakazakii (enterobacteria)
GCF_000987835.1	Sulfurovum lithotrophicum (e-proteobacteria)
GCF_000993785.2	Streptomyces xiamenensis (high GC Gram+)
GCF_000993805.1	Thermofilum uzonense (crenarchaeotes)
GCF_001005905.1	Salinicoccus halodurans (firmicutes)
GCF_001006045.1	Geoglobus ahangari (euryarchaeotes)
GCF_001007935.1	Nitrosomonas communis (b-proteobacteria)
GCF_001007995.1	Deinococcus soli Cha et al. 2016 (bacteria)
GCF_001008165.2	Altererythrobacter atlanticus (a-proteobacteria)
GCF_001010285.1	Photorhabdus thracensis (enterobacteria)
GCF_001010805.1	Spongiibacter sp. IMCC21906 (g-proteobacteria)
GCF_001011035.1	Streptomyces sp. CNQ-509 (high GC Gram+)
GCF_001011155.1	Hoeflea sp. IMCC20628 (a-proteobacteria)
GCF_001013905.1	Streptomyces leeuwenhoekii (high GC Gram+)
GCF_001017435.1	[Polyangium] brachysporum (b-proteobacteria)
GCF_001020955.1	Thioalkalivibrio versutus (g-proteobacteria)
GCF_001020985.1	Corynebacterium mustelae (high GC Gram+)
GCF_001021025.1	Corynebacterium epidermidicanis (high GC Gram+)
GCF_001021045.1	Corynebacterium testudinoris (high GC Gram+)
GCF_001021065.1	Corynebacterium uterequi (high GC Gram+)
GCF_001021085.1	Candidatus Liberibacter africanus PTSAPSY (a-proteobacteria)
GCF_001021385.1	Mycobacterium sp. EPa45 (high GC Gram+)
GCF_001021935.1	Xanthomonas translucens pv. undulosa (g-proteobacteria)
GCF_001021975.1	Chryseobacterium gallinarum (CFB group bacteria)
GCF_001022135.1	Phytobacter ursingii (enterobacteria)
GCF_001023575.1	Actinobacteria bacterium IMCC26256 (high GC Gram+)
GCF_001025155.1	Bifidobacterium angulatum DSM 20098 = JCM 7096 (high GC Gram+)
GCF_001025175.1	Bifidobacterium breve DSM 20213 = JCM 1192 (high GC Gram+)
GCF_001027025.1	Kosmotoga pacifica (bacteria)
GCF_001027285.1	Archangium gephyra (d-proteobacteria)
GCF_001027545.1	Endomicrobium proavitum (bacteria)
GCF_001028625.1	Pelagerythrobacter marensis (a-proteobacteria)
GCF_001028645.1	Staphylococcus capitis subsp. capitis (firmicutes)
GCF_001028705.1	Croceicoccus naphthovorans (a-proteobacteria)
GCF_001029265.1	Spiroplasma eriocheiris (mycoplasmas)
GCF_001038625.1	Clostridium carboxidivorans P7 (firmicutes)
GCF_001040945.1	Herbaspirillum seropedicae (b-proteobacteria)
GCF_001042405.1	Lactobacillus acetotolerans (firmicutes)
GCF_001042595.1	Bifidobacterium dentium JCM 1195 = DSM 20436 (high GC Gram+)
GCF_001042635.1	Bifidobacterium scardovii JCM 12489 = DSM 13734 (high GC Gram+)
GCF_001042675.1	Parascardovia denticolens DSM 10105 = JCM 12538 (high GC Gram+)
GCF_001042695.1	Scardovia inopinata JCM 12537 (high GC Gram+)
GCF_001042715.1	Clostridium aceticum (firmicutes)
GCF_001043175.1	Marinobacter psychrophilus (g-proteobacteria)
GCF_001046955.1	Marinovum algicola DG 898 (a-proteobacteria)
GCF_001050115.1	Bacillus smithii (firmicutes)
GCF_001050435.1	Levilactobacillus koreensis (firmicutes)
GCF_001050475.1	Companilactobacillus ginsenosidimutans (firmicutes)
GCF_001051995.2	Thauera humireducens (b-proteobacteria)
GCF_001077715.1	Candidatus Coxiella mudrowiae (g-proteobacteria)
GCF_001078055.1	Rufibacter radiotolerans (CFB group bacteria)
GCF_001078275.1	Bordetella hinzii (b-proteobacteria)
GCF_001182745.1	Nocardia farcinica (high GC Gram+)
GCF_001185205.1	Devosia sp. H5989 (a-proteobacteria)
GCF_001187595.1	Anoxybacillus gonensis (firmicutes)
GCF_001187785.1	Wenzhouxiangella marina (g-proteobacteria)
GCF_001187845.1	Octadecabacter temperatus (a-proteobacteria)
GCF_001188915.1	Staphylococcus schleiferi (firmicutes)
GCF_001189295.1	Chondromyces crocatus (d-proteobacteria)
GCF_001189495.1	Eubacterium sulci ATCC 35585 (firmicutes)
GCF_001189535.1	Arsenicicoccus sp. oral taxon 190 (high GC Gram+)
GCF_001190745.1	Campylobacter gracilis (e-proteobacteria)
GCF_001190755.1	Campylobacter ureolyticus RIGS 9880 (e-proteobacteria)
GCF_001190945.1	Luteipulveratus mongoliensis (high GC Gram+)
GCF_001191005.1	Massilia sp. NR 4-1 (b-proteobacteria)
GCF_001262015.1	Prevotella fusca JCM 17724 (CFB group bacteria)
GCF_001262035.1	Aggregatibacter aphrophilus (g-proteobacteria)
GCF_001262075.1	Ottowia sp. oral taxon 894 (b-proteobacteria)
GCF_001262715.1	Spiroplasma turonicum (mycoplasmas)
GCF_001263175.1	Vulgatibacter incomptus (d-proteobacteria)
GCF_001263395.1	Bifidobacterium actinocoloniiforme DSM 22766 (high GC Gram+)
GCF_001267155.1	Spiroplasma litorale (mycoplasmas)
GCF_001267175.1	Oblitimonas alkaliphila (g-proteobacteria)
GCF_001267865.1	Enterococcus durans (firmicutes)
GCF_001267925.1	Herbaspirillum hiltneri N3 (b-proteobacteria)
GCF_001269425.1	Candidatus Baumannia cicadellinicola (g-proteobacteria)
GCF_001273775.1	Nitrospira moscoviensis (bacteria)
GCF_001274535.1	Leptotrichia sp. oral taxon 212 (fusobacteria)
GCF_001274875.1	Spiroplasma kunkelii CR2-3x (mycoplasmas)
GCF_001274895.1	Corynebacterium lactis RW2-5 (high GC Gram+)
GCF_001275345.1	Kocuria palustris (high GC Gram+)
GCF_001277995.1	Corynebacterium deserti GIMN1.010 (high GC Gram+)
GCF_001278035.1	Sphingopyxis sp. 113P3 (a-proteobacteria)
GCF_001278055.1	Desulfuromonas soudanensis (d-proteobacteria)
GCF_001278075.1	Streptomyces pristinaespiralis (high GC Gram+)
GCF_001280225.1	Buchnera aphidicola (Aphis glycines) (enterobacteria)
GCF_001281045.1	Spiroplasma cantharicola (mycoplasmas)
GCF_001281115.1	Arthrobacter sp. LS16 (high GC Gram+)
GCF_001281385.1	Candidatus Thioglobus singularis PS1 (g-proteobacteria)
GCF_001281465.1	Cupriavidus gilardii CR3 (b-proteobacteria)
GCF_001302585.1	Kibdelosporangium phytohabitans (high GC Gram+)
GCF_001305595.1	Azospirillum thiophilum (a-proteobacteria)
GCF_001305615.1	Confluentimicrobium sp. EMB200-NS6 (a-proteobacteria)
GCF_001305655.1	Halanaeroarchaeum sulfurireducens (euryarchaeotes)
GCF_001307195.1	Acinetobacter equi (g-proteobacteria)
GCF_001307545.1	Mycolicibacterium fortuitum (high GC Gram+)
GCF_001308105.1	Persicobacter sp. JZB09 (CFB group bacteria)
GCF_001308145.2	Weissella cibaria (firmicutes)
GCF_001310255.1	Brevundimonas sp. DS20 (a-proteobacteria)
GCF_001314225.1	Microbacterium sp. No. 7 (high GC Gram+)
GCF_001314305.1	Stenotrophomonas acidaminiphila (g-proteobacteria)
GCF_001314325.1	Sphingopyxis macrogoltabida (a-proteobacteria)
GCF_001314945.1	Apilactobacillus kunkeei (firmicutes)
GCF_001314975.1	Bacteroides thetaiotaomicron (CFB group bacteria)
GCF_001314995.1	Bacteroides ovatus (CFB group bacteria)
GCF_001315015.1	Azospirillum brasilense (a-proteobacteria)
GCF_001318345.1	Bacteroides cellulosilyticus (CFB group bacteria)
GCF_001402875.1	Blastochloris viridis (a-proteobacteria)
GCF_001411495.1	Burkholderia cepacia ATCC 25416 (b-proteobacteria)
GCF_001412575.1	Limnohabitans sp. 103DPR2 (b-proteobacteria)
GCF_001412595.1	Massilia sp. WG5 (b-proteobacteria)
GCF_001412615.1	Pyrodictium delaneyi (crenarchaeotes)
GCF_001420855.1	Bacillus thuringiensis (firmicutes)
GCF_001420915.1	Agarivorans gilvus (g-proteobacteria)
GCF_001420995.1	Pseudonocardia sp. EC080619-01 (high GC Gram+)
GCF_001421015.1	Paenibacillus bovis (firmicutes)
GCF_001421015.2	Paenibacillus bovis (firmicutes)
GCF_001431725.1	Halomonas huangheensis (g-proteobacteria)
GCF_001432245.1	Staphylococcus equorum (firmicutes)
GCF_001439585.2	Aneurinibacillus sp. XH2 (firmicutes)
GCF_001442535.1	Lysobacter antibioticus (g-proteobacteria)
GCF_001442785.1	Lysobacter capsici (g-proteobacteria)
GCF_001443605.1	Salinivirga cyanobacteriivorans (CFB group bacteria)
GCF_001444365.1	Colwellia sp. MT41 (g-proteobacteria)
GCF_001444405.1	Pseudoalteromonas phenolica (g-proteobacteria)
GCF_001444425.1	Pseudohongiella spirulinae (g-proteobacteria)
GCF_001444445.1	Prevotella enoeca (CFB group bacteria)
GCF_001447335.1	Aeromonas schubertii (g-proteobacteria)
GCF_001454945.1	Intestinimonas butyriciproducens (firmicutes)
GCF_001456065.2	Clostridium butyricum (firmicutes)
GCF_001456215.1	Staphylococcus aureus (firmicutes)
GCF_001456315.1	Xylella fastidiosa (g-proteobacteria)
GCF_001457455.1	Corynebacterium diphtheriae (high GC Gram+)
GCF_001457475.1	Achromobacter xylosoxidans (b-proteobacteria)
GCF_001458475.1	Kingella kingae (b-proteobacteria)
GCF_001460635.1	Helicobacter typhlonius (e-proteobacteria)
GCF_001465295.1	Pseudoalteromonas translucida KMM 520 (g-proteobacteria)
GCF_001465835.2	Planococcus kocurii (firmicutes)
GCF_001477625.1	Paucibacter sp. KCTC 42545 (b-proteobacteria)
GCF_001477655.1	Methanobrevibacter millerae (euryarchaeotes)
GCF_001482365.1	Kocuria flava (high GC Gram+)
GCF_001482385.1	Pseudoalteromonas rubra (g-proteobacteria)
GCF_001483385.1	Tenacibaculum dicentrarchi (CFB group bacteria)
GCF_001483845.1	Campylobacter coli (e-proteobacteria)
